,count,unique,top,freq,mean,std,min,25%,50%,75%,max,skewness,kurtosis
permalink,66368,66368,/organization/-fame,1,,,,,,,,,
name,66368,66102,Blink,5,,,,,,,,,
homepage_url,66368,61191,http://www.askforoffer.com,5063,,,,,,,,,
category_list,66368,27296,Software,7143,,,,,,,,,
funding_total_usd,66368.0,,,,14918922.374247735,169092980.4349868,0.0,40000.0,1000000.0,6800473.25,30079503000.0,112.01872581188687,17268.774056705435
status,66368,4,operating,53034,,,,,,,,,
country_code,66368,137,USA,44559,,,,,,,,,
state_code,66368,311,CA,21447,,,,,,,,,
region,66368,1092,SF Bay Area,16834,,,,,,,,,
city,66368,5111,San Francisco,11554,,,,,,,,,
funding_rounds,66368.0,,,,1.7325216972034716,1.3602510426987653,1.0,1.0,1.0,2.0,19.0,3.045244027583796,13.978269570302981
founded_at,66368,3978,2012-01-01,17951,,,,,,,,,
first_funding_at,66368,4817,2014-01-01,589,,,,,,,,,
last_funding_at,66368,4518,2014-01-01,483,,,,,,,,,
